data_completa,data,semana,qtd_marmitas,cardapio,qtd_frango,qtd_carne,qtd_calabresa,qtd_linguica,qtd_arroz,qtd_feijao,qtd_macarao,ano,mes
2021-11-30 17:55:34.260,2021-11-03,Quarta,116,salada de macarrao.,,,,,,,10.0,2021,11
2021-11-30 17:56:12.465,2021-11-04,Quinta,112,"arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,11
2021-11-30 17:56:49.442,2021-11-05,Sexta,123,"arroz, feijao, picadinho de carne e salada de acelga.",,10.0,,,5.0,4.0,,2021,11
2021-11-30 17:57:24.479,2021-11-06,Sábado,110,"arroz, feijao preto, calabresa e salada de escarola.",,,10.0,,5.0,4.0,,2021,11
2021-11-30 17:58:04.426,2021-11-09,Terça,104,macarrao com molho de linguiça,,,,10.0,,,10.0,2021,11
2021-11-30 17:58:39.505,2021-11-10,Quarta,111,"arroz, feijao vermelho, carne de porco e salada de couve.",,10.0,,,5.0,4.0,,2021,11
2021-11-30 17:59:28.751,2021-11-11,Quinta,112,"arroz, feijao, calabresa e pure de cenoura.",,,10.0,,5.0,4.0,,2021,11
2021-11-30 18:00:09.144,2021-11-12,Sexta,114,"macarrao com molho de soja, milho, ervilha e azeitona.",,,,,,,10.0,2021,11
2021-11-30 18:00:38.865,2021-11-13,Sábado,113,salada de macarrao.,,,,,,,10.0,2021,11
2021-11-30 18:01:15.061,2021-11-15,Segunda,110,"arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,11
2021-11-30 18:09:59.280,2021-11-16,Terça,108,"arroz feijao, salada de mandioca e almondegas de soja.",,,,,5.0,4.0,,2021,11
2021-11-30 18:08:52.788,2021-11-17,Quarta,108,"arroz, feijao preto, carne de porco e slada de mandioca/acelga.",,10.0,,,5.0,4.0,,2021,11
2021-11-30 18:10:25.820,2021-11-18,Quinta,93,arroz carrteiro e salada de batatas.,,5.0,,,5.0,,,2021,11
2021-11-30 18:11:14.596,2021-11-19,Sexta,123,salada de macarrao.,,,,,,,10.0,2021,11
2021-11-30 18:11:32.038,2021-11-20,Sábado,124,salada de macarrao.,,,,,,,10.0,2021,11
2021-11-30 18:12:15.816,2021-11-22,Segunda,97,"macarrao mo molho de soja, ervilha . milho e azeitonas.",,,,,,,10.0,2021,11
2021-11-30 18:12:54.269,2021-11-23,Terça,107,"arroz, strogonoff de frango de batata palha.",10.0,,,,5.0,,,2021,11
2021-11-30 18:13:46.407,2021-11-24,Quarta,114,"arroz, feijao, carne de soja e salada de repolho.",,,,,5.0,4.0,,2021,11
2021-11-30 18:14:10.848,2021-11-25,Quinta,121,salada de macarrao.,,,,,,,10.0,2021,11
2021-11-30 18:14:56.134,2021-11-27,Sábado,112,"arroz, strogonoff de frango de batata palha.",10.0,,,,5.0,,,2021,11
2021-11-30 18:15:39.586,2021-11-28,Domingo,82,arroz carreteiro e sadala de repolho.,,5.0,,,5.0,,,2021,11
2021-11-30 18:16:12.955,2021-11-29,Segunda,100,"macarrao com molho de soja, ervilha e milho.",,,,,,,10.0,2021,11
2021-11-30 19:59:45.266,2021-11-30,Terça,117,"arroz, feijao, polenta e molho de linguiça.",,,,10.0,5.0,4.0,,2021,11
2021-12-29 21:41:24.169,2021-12-01,Quarta,109,"arroz, feijao preto, ovo mexido e carne de soja com molho.",,10.0,,,5.0,4.0,,2021,12
2021-12-29 21:42:03.736,2021-12-02,Quinta,112,salada de macarrao.,,,,,,,10.0,2021,12
2021-12-29 21:42:44.869,2021-12-03,Sexta,107,"arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,12
2021-12-29 21:43:13.501,2021-12-04,Sábado,102,macarrao com molho de soja.,,,,,,,10.0,2021,12
2021-12-29 21:44:11.935,2021-12-06,Segunda,97,"arroz, feijao ( preto e carioca), molho de linguiça e salada de repolho.",,,,10.0,5.0,4.0,,2021,12
2021-12-29 21:44:46.238,2021-12-07,Terça,93,"arroz, feijao, salada de batatas e ovo mexido.",,,,,5.0,4.0,,2021,12
2021-12-29 21:45:28.852,2021-12-08,Quarta,103,"arroz, feijao, salada de batatas e carne de porco.",,10.0,,,5.0,4.0,,2021,12
2021-12-29 21:46:02.273,2021-12-09,Quinta,114,salada de macarrao.,,,,,,,10.0,2021,12
2021-12-29 21:46:45.725,2021-12-10,Sexta,97,"macarrao com molho de soja, ervilha, milho e azeitonas.",,,,,,,10.0,2021,12
2021-12-29 21:47:35.999,2021-12-13,Segunda,112,"arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,12
2021-12-29 21:48:27.665,2021-12-14,Terça,107,"arroz, feijao(preto e carioca), carne vegetal e pure de cenoura.",,10.0,,,5.0,4.0,,2021,12
2021-12-29 21:49:56.271,2021-12-15,Quarta,110,"arroz, feijao(preto e carioca), carne de soja e maionese.",,10.0,,,5.0,4.0,,2021,12
2021-12-29 21:50:43.789,2021-12-16,Quinta,102,"arroz, feijao, carne de porco e salada de repolho /mandioca.",,10.0,,,5.0,4.0,,2021,12
2021-12-29 21:51:10.398,2021-12-17,Sexta,109,salada de macarrao.,,,,,,,10.0,2021,12
2021-12-29 21:51:41.738,2021-12-18,Sábado,107,"arroz, strogonoff de frango de batata palha.",10.0,,,,5.0,,,2021,12
